Field Start Position,Field End Position,Field Length,Data Type,Description,Comments,Valid Values,structural
1841,1844,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
1845,1848,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
1849,1852,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
1853,1856,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
1857,1890,34,SCIENCE,,,,TRUE
1857,1862,6,Integer,Number Not Present,,0 or greater,FALSE
1863,1868,6,Integer,Number of Voids,,0 or greater,FALSE
1869,1874,6,Integer,Number of Valid Scale Scores,,0 or greater,FALSE
1875,1878,4,Decimal,Partially Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
1879,1882,4,Decimal,Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
1883,1886,4,Decimal,Advanced Proficient Percentage,One implied decimal,0.0 to 100.0,FALSE
1887,1890,4,Decimal,Scale Score Mean,One implied decimal,100.0 to 300.0,FALSE
1891,1892,2,Integer,Grade,Located in text file only,"03, 04",FALSE
